MESH:D013274	ENTPD1-AS1
MESH:D010051	ENTPD3-AS1
MESH:D009369	EPB41L4A-AS1
MESH:D000077195	EPB41L4A-AS2
MESH:D007680	EPB41L4A-AS2
MESH:D008175	EPB41L4A-AS2
MESH:D009298	EPB41L4B
MESH:D008175	EPEL
MESH:D009298	ERBB4
MESH:D009298	EREG
MESH:D008380	ERL
MESH:D013274	ERVH48-1
MESH:D002294	ESCCAL-5
MESH:D018236	ESRG
MESH:D009298	ETS2
MESH:D009298	ETV6
MESH:D002583	EWSAT1
MESH:D012512	EWSAT1
MESH:D012516	EWSAT1
MESH:D009369	EZH2
MESH:D009298	F13A1
MESH:D009298	F2R
MESH:D009298	FABP4
MESH:D052439	FADS1
MESH:D011471	FALEC
MESH:D009101	FAM135A
MESH:D012640	FAM138C
MESH:D009437	Fam178b
MESH:D009298	FAM183A
MESH:D016889	FAM212B-AS1
MESH:D010051	FAM215A
MESH:D005706	FAM30A
MESH:D000077195	FAM3D-AS1
MESH:D007822	FAM3D-AS1
MESH:D010610	FAM3D-AS1
MESH:D014062	FAM3D-AS1
MESH:D013683	FAM66B
MESH:D009298	FAM81B
MESH:D015179	FAM83H-AS1
MESH:D008175	FAM83H-AS1
MESH:D009437	Fam9b
MESH:D001260	FAS-AS1
MESH:D008228	FAS-AS1
MESH:D001172	FBXL19-AS1
MESH:D009298	FCER1A
MESH:D029424	FENDRR
MESH:D005706	FENDRR
MESH:D000077192	FENDRR
MESH:D008175	FENDRR
MESH:D012516	FENDRR
MESH:D011471	FENDRR
MESH:D013274	FENDRR
MESH:D016889	FER1L4
MESH:D013274	FER1L4
MESH:D013274	FEZF1-AS1
MESH:D009447	FGD5-AS1
MESH:D006345	FGF10-AS1
MESH:D012516	FGFR3-AS1
MESH:D009298	FGL2
MESH:D011225	FLT1P1
MESH:D005600	FMR1-AS1
MESH:C564105	FMR1-AS1
MESH:D065886	FMR1-AS1
MESH:D005600	FMR5
MESH:C564105	FMR5
MESH:D005600	FMR6
MESH:C564105	FMR6
MESH:D012516	FOXC2-AS1
MESH:D000077274	FOXCUT
MESH:D002294	FOXCUT
MESH:D000077277	FOXD2-AS1
MESH:D000077274	FOXD2-AS1
MESH:D011625	FOXD2-AS1
MESH:D003093	FOXD2-AS1
MESH:D009298	FOXJ1
MESH:D009298	FOXL1
MESH:D005910	FOXO1
MESH:D005706	FOXP2
MESH:D011471	FR0257520
MESH:D011471	FR0348383
MESH:D000077192	FR165245
MESH:D013167	FRG2C
MESH:D013274	FRGCA
MESH:D013274	FRLnc1
MESH:D009298	FSD1L
MESH:D005910	FTX
MESH:D009447	FW340058
MESH:D010190	GACAT2
MESH:D013274	GACAT2
MESH:D010051	GACAT3
MESH:D013274	GACAT3
MESH:D013274	GAPLINC
MESH:D016393	GAS5
MESH:D009369	GAS5
MESH:D002583	GAS5
MESH:D003324	GAS5
MESH:D004938	GAS5
MESH:D000077277	GAS5
MESH:D005909	GAS5
MESH:D005910	GAS5
MESH:D006258	GAS5
MESH:D006973	GAS5
MESH:D015212	GAS5
MESH:D007680	GAS5
MESH:D007938	GAS5
MESH:D008103	GAS5
MESH:D000077192	GAS5
MESH:D008175	GAS5
MESH:D008223	GAS5
MESH:D020522	GAS5
MESH:D008545	GAS5
MESH:D009101	GAS5
MESH:D000077274	GAS5
MESH:D009447	GAS5
MESH:D010003	GAS5
MESH:D012516	GAS5
MESH:D010051	GAS5
MESH:D010190	GAS5
MESH:D011085	GAS5
MESH:D011471	GAS5
MESH:D013274	GAS5
MESH:D015458	GAS5
MESH:D003924	GAS5
MESH:D001749	GAS5
MESH:D005909	GAS5-family
MESH:D000077273	GAS8-AS1
MESH:D002583	GASS
MESH:D009298	GATA1
MESH:D015451	GATA6-AS1
MESH:D013274	GATA6-AS1
MESH:D005706	GCASPC
MESH:D013274	GClnc1
MESH:D009298	GDF15
MESH:D000544	GDNFOS2
MESH:D006627	GFRA1
MESH:D009298	GFRA1
MESH:D010190	GHET1
MESH:D013274	GHET1
MESH:D001749	GHET1
MESH:D005909	GLIDR
MESH:D009298	GNAO1
MESH:C548075	GNAS-AS1
MESH:D009298	GPR162
MESH:D009298	GPR65
MESH:D013274	GPR65
MESH:D008175	GPSM2
MESH:D009298	GRAMD2A
MESH:D013274	GS1-5L10.1
MESH:D004938	GS1-600G8.5
MESH:D009298	GSTM3
MESH:D009298	GSTM5
MESH:D009369	gtl2-as
MESH:D009396	gtl2-as
MESH:D009447	gtl2-as
MESH:D009369	GUARDIN
MESH:D009298	GZMB
MESH:D009298	GZMH
MESH:D013274	H04858
MESH:D013274	H11436
MESH:D017544	H19
MESH:D000230	H19
MESH:D018268	H19
OMIM:109730	H19
MESH:D001506	H19
MESH:D009369	H19
MESH:D002493	H19
MESH:D002583	H19
MESH:D002822	H19
MESH:D015464	H19
MESH:D044903	H19
MESH:D003324	H19
MESH:D058065	H19
MESH:D018236	H19
MESH:D016889	H19
MESH:D004715	H19
MESH:D004938	H19
MESH:D005706	H19
MESH:D004067|MESH:D005770	H19
MESH:D031901	H19
MESH:D005909	H19
MESH:D005910	H19
MESH:D000077195	H19
MESH:D006330	H19
MESH:D006331	H19
MESH:D006828	H19
MESH:C566403	H19
MESH:D006966	H19
MESH:D007246	H19
MESH:D007627	H19
MESH:D007680	H19
MESH:D006528	H19
MESH:D000077192	H19
MESH:D008175	H19
MESH:D008380	H19
MESH:D008545	H19
MESH:D008579	H19
MESH:C537371	H19
MESH:D009101	H19
MESH:D000077274	H19
MESH:D009396	H19
MESH:D009436	H19
MESH:D009447	H19
MESH:D009765	H19
MESH:D010003	H19
MESH:D012516	H19
MESH:D010051	H19
MESH:D000077216	H19
MESH:D010190	H19
MESH:D000077273	H19
MESH:D010300	H19
MESH:D010673	H19
MESH:D011009	H19
MESH:D011087	H19
MESH:D011218	H19
MESH:D011225	H19
MESH:D011471	H19
MESH:D001172	H19
MESH:D056730	H19
MESH:D002294	H19
MESH:D013274	H19
MESH:D014328	H19
MESH:D003093	H19
MESH:D001749	H19
MESH:D006627	HA117
MESH:D002583	HAGLR
MESH:D005910	HAGLR
MESH:D009447	HAGLR
MESH:D010051	HAGLR
MESH:D000077216	HAGLR
MESH:D013274	HAGLR
MESH:D001749	HAGLR
MESH:D000077273	HAGLROS
MESH:D013274	HAGLROS
MESH:D000077195	HAND2-AS1
MESH:D006816	HAR1
MESH:D000544	HAR1A
MESH:D002493	HAR1A
MESH:D006816	HAR1A
MESH:D012559	HAR1A
MESH:D000544	HAR1B
MESH:D013683	HAR1B
MESH:D006816	HAR1B
MESH:D012559	HAR1B
MESH:D011471	HCG11
MESH:D000163	HCP5
MESH:D018263	HCP5
MESH:D000077195	HEIH
MESH:D017359	HELLPAR
MESH:D012516	HIF-2α
MESH:D001014	HIF1A-AS1
MESH:D002318	HIF1A-AS1
MESH:D015179	HIF1A-AS1
MESH:D007680	HIF1A-AS1
MESH:D017545	HIF1A-AS1
MESH:D001943	HIF1A-AS2
MESH:D005909	HIF1A-AS2
MESH:D007680	HIF1A-AS2
MESH:D012516	HIF1A-AS2
MESH:D013274	HIF1A-AS2
MESH:D001749	HIF1A-AS2
MESH:D012516	HIF2PUT
MESH:D010051	HIST1H1D
MESH:D009298	HIST1H2AL
MESH:D013274	HIV1230
MESH:D000163	HLA-AS1
MESH:D008107	HLA-AS1
MESH:D009103	HLA-AS1
MESH:D011565	HLA-AS1
MESH:D009369	HM13-AS1
MESH:D006627	HN12
MESH:D000230	HNF1A-AS1
MESH:D015179	HNF1A-AS1
MESH:C562730	HNF1A-AS1
MESH:D000077192	HNF1A-AS1
MESH:D000077274	HNF1A-AS1
MESH:D012516	HNF1A-AS1
MESH:D010190	HNF1A-AS1
MESH:D002294	HNF1A-AS1
MESH:D013274	HNF1A-AS1
MESH:D000026	HOTAIR
MESH:D015470	HOTAIR
MESH:D053627	HOTAIR
MESH:D016393	HOTAIR
MESH:D009369	HOTAIR
MESH:D002561	HOTAIR
MESH:D002583	HOTAIR
MESH:D015464	HOTAIR
MESH:D009373	HOTAIR
